"ID","Rating","Text","Review Likes","Date","User"
"1","4","im amazed this campus looks very modern with the appearance of a hotel rather than a school, lots of plants that make Stiki Indonesia feel like a hidden resort in the bustle of Panjer, and the environment makes me very comfortable studying on campus, don't forget to chill in front of the epic fish pond koi !!, friendly lecturers and employees this is in accordance with the word stiki friendly campus that I frequently read, but the most mind blowing thing in my opinion is that gym sports are very rarely found in other campuses. I  have a lot of amazing experiences that I'd like to share with you, but I think you should try it for yourself!!, Guys this place is legit!!","2","2 years ago","{
  ""name"": ""Gusti Ayu Adeliadesi Pradnyandari"",
  ""link"": ""https://www.google.com/maps/contrib/116354902165793747970?hl=en-US"",
  ""contributor_id"": ""116354902165793747970"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjVWkbLe-c1pwZy6saDBIaCvGq1slDGuddCmaHd6YMwL-a0ZqP6a=s120-c-rp-mo-br100"",
  ""local_guide"": true,
  ""reviews"": 1,
  ""photos"": 3
}"
"2","5","undhira x stiki

modern hall, cozy vibes, friendly staff, large parking area, exciting learning session with my debating team! thank you stiki for having me","1","3 years ago","{
  ""name"": ""Made Indiana"",
  ""link"": ""https://www.google.com/maps/contrib/102999465138596116638?hl=en-US"",
  ""contributor_id"": ""102999465138596116638"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjXxWUjz6Ff_wiA02GgIlfcSaLW26XMmWogk00JEGBD4YWGE3Rm7=s120-c-rp-mo-ba3-br100"",
  ""local_guide"": true,
  ""reviews"": 49,
  ""photos"": 83
}"
"3","1","Nothing much to say about this place, it's look good outside, but terrible inside, especially for the toilet, when I think about this place, the one that come to my brain ""is this really a college?""

Cafeteria is good, but I don't even look a popular stand here like a good cafe. There are about a hundred computer, but no guest computer. Ok, that not bad after all although this is tech college.

Parking area is too narrow, but I think it's enough for student here.","18","6 years ago","{
  ""name"": ""Dwi Arya Pradana"",
  ""link"": ""https://www.google.com/maps/contrib/106037370989037784938?hl=en-US"",
  ""contributor_id"": ""106037370989037784938"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjUHt9BA0OWq55wzclh7hSZsWhPpurylH74BJHAAWirWFURO8ill=s120-c-rp-mo-ba5-br100"",
  ""local_guide"": true,
  ""reviews"": 60,
  ""photos"": 164
}"
"4","5","Cool","0","a year ago","{
  ""name"": ""I Nengah Suarna"",
  ""link"": ""https://www.google.com/maps/contrib/101685748839076253481?hl=en-US"",
  ""contributor_id"": ""101685748839076253481"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjXAoxBH4hO9Bf1BPnTy7q6jVRwXfggi77ZKae5rexNTqTmXwV02=s120-c-rp-mo-ba6-br100"",
  ""local_guide"": true,
  ""reviews"": 289,
  ""photos"": 2197
}"
"5","5","Great place to learn and enjoying green environment in campus area","1","4 years ago","{
  ""name"": ""I Made Marthana Yusa"",
  ""link"": ""https://www.google.com/maps/contrib/113572482023739626861?hl=en-US"",
  ""contributor_id"": ""113572482023739626861"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjU1cyXpe1SCxm0uijQocgMm913xoIBO6QIVI6i2rHh_4nZxvQ99=s120-c-rp-mo-ba2-br100"",
  ""local_guide"": true,
  ""reviews"": 19,
  ""photos"": 30
}"
"6","5","My campus","0","5 years ago","{
  ""name"": ""Sang Nugraha"",
  ""link"": ""https://www.google.com/maps/contrib/100265116053008366291?hl=en-US"",
  ""contributor_id"": ""100265116053008366291"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjU7L5qL2-XTZUWmJJcgKghbua_92W_orT3n548nX7udDNgosbtZ1g=s120-c-rp-mo-ba3-br100"",
  ""local_guide"": true,
  ""reviews"": 49,
  ""photos"": 2
}"
"7","5","Recommend ","0","5 months ago","{
  ""name"": ""Yudha Airlangga"",
  ""link"": ""https://www.google.com/maps/contrib/112422425358769453349?hl=en-US"",
  ""contributor_id"": ""112422425358769453349"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjUThQBcp2Xb9q7ARtcRTjB8qftSJw_VyroyOWLoYYAeEp_6g0FA=s120-c-rp-mo-ba2-br100"",
  ""local_guide"": true,
  ""reviews"": 25,
  ""photos"": 3
}"
"8","5","Kampus is the best","0","10 months ago","{
  ""name"": ""Gaming Ranger Bali"",
  ""link"": ""https://www.google.com/maps/contrib/105126726905775265925?hl=en-US"",
  ""contributor_id"": ""105126726905775265925"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a/ACg8ocLqi4ah_i2fGttSHgcmc9F8eopuiEUumAmF4E6DusNFqjjy6w=s120-c-rp-mo-br100"",
  ""reviews"": 59,
  ""photos"": 6
}"
"9","5","Ok","1","a year ago","{
  ""name"": ""Andre Balebo"",
  ""link"": ""https://www.google.com/maps/contrib/105838834528885692789?hl=en"",
  ""contributor_id"": ""105838834528885692789"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a/ACg8ocLozJUQEJnBB53N6g0vj1DLT9mmTJ3eQh3mgF3gUeBdM4PbNIk=s120-c-rp-mo-br100"",
  ""reviews"": 3,
  ""photos"": 0
}"
"10","5","My campus","0","7 years ago","{
  ""name"": ""Adi Surya"",
  ""link"": ""https://www.google.com/maps/contrib/116865342372095825015?hl=en"",
  ""contributor_id"": ""116865342372095825015"",
  ""thumbnail"": ""https://lh3.googleusercontent.com/a-/ALV-UjXNg3OTpq7ZYQI0-8qfqCm0qAwuHvPQynEsAcbBXz-L1rh5ycSz=s120-c-rp-mo-ba2-br100"",
  ""local_guide"": true,
  ""reviews"": 10,
  ""photos"": 5
}"
